ID,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT_W_CITY,APPL_DATETIME,DATE_BIRTH,age,age_category
145156,0,Cash loans,F,N,Y,45000.0,127350.0,13842.0,112500.0,Secondary / secondary special,House / apartment,105,3,2017-11-02 0:55:08,1996-03-19,27,Twenty
107711,1,Cash loans,F,N,N,81000.0,771493.5,24768.0,666000.0,Higher education,House / apartment,6.852,3,2018-12-10 18:13:55,1992-08-07,31,Thirty
194842,0,Cash loans,F,N,Y,180000.0,1078200.0,31653.0,900000.0,Incomplete higher,House / apartment,20.713,3,2017-02-01 4:42:44,1980-12-15,43,Fourty
90680,0,Cash loans,M,Y,Y,270000.0,755190.0,36459.0,675000.0,Secondary / secondary special,House / apartment,20.713,3,2018-11-10 17:38:21,1993-11-17,30,Twenty
120190,0,Cash loans,M,N,Y,135000.0,248760.0,29650.5,225000.0,Secondary / secondary special,House / apartment,18.029,3,2018-12-16 11:02:09,1956-09-13,67,Above_Sixty
64564,0,Cash loans,M,Y,Y,135000.0,746280.0,54436.5,675000.0,Lower secondary,With parents,20.246,3,2018-02-10 8:53:00,1993-05-27,30,Twenty
172409,0,Cash loans,M,Y,Y,135000.0,904608.0,29313.0,648000.0,Lower secondary,With parents,18.029,3,2017-07-29 20:50:02,1985-11-24,38,Thirty
73480,0,Cash loans,F,N,N,78750.0,545040.0,25537.5,450000.0,Higher education,House / apartment,2.134,3,2017-01-19 15:46:47,1975-03-11,48,Fourty
88343,0,Cash loans,F,Y,N,135000.0,900000.0,29745.0,900000.0,Higher education,House / apartment,20.713,3,2018-04-26 3:37:27,1993-04-11,30,Twenty
53121,0,Cash loans,F,N,Y,162000.0,274500.0,16717.5,274500.0,Secondary / secondary special,House / apartment,18.209,3,2018-04-02 3:34:06,1965-11-01,58,Fifty
85914,1,Cash loans,M,N,Y,37800.0,345645.0,16942.5,243000.0,Secondary / secondary special,House / apartment,6.852,3,2018-02-22 14:44:33,1953-12-07,70,Above_Sixty
48562,0,Cash loans,F,N,Y,112500.0,573628.5,25398.0,463500.0,Secondary / secondary special,House / apartment,20.246,3,2017-11-13 8:05:43,1952-12-31,71,Above_Sixty
86474,0,Cash loans,F,N,Y,58500.0,101880.0,10206.0,90000.0,Secondary / secondary special,House / apartment,20.713,3,2018-06-29 5:02:41,1956-02-10,67,Above_Sixty
136810,0,Cash loans,F,N,Y,123750.0,781920.0,28215.0,675000.0,Secondary / secondary special,House / apartment,2.042,3,2018-09-25 18:03:41,1953-12-26,70,Above_Sixty
124236,1,Cash loans,F,N,N,67500.0,808650.0,29839.5,675000.0,Secondary / secondary special,House / apartment,20.713,3,2017-08-13 11:46:32,1960-03-27,63,Above_Sixty
64313,0,Cash loans,M,Y,N,157500.0,258709.5,14980.5,234000.0,Secondary / secondary special,House / apartment,20.246,3,2017-03-11 18:39:12,1983-12-15,40,Thirty
107494,0,Cash loans,F,Y,Y,90000.0,675000.0,34596.0,675000.0,Secondary / secondary special,House / apartment,18.209,3,2018-08-28 4:45:29,1990-04-09,33,Thirty
73193,0,Cash loans,F,Y,Y,225000.0,971280.0,54364.5,900000.0,Incomplete higher,House / apartment,20.713,3,2018-03-15 15:27:25,1982-02-24,41,Fourty
194254,0,Cash loans,F,Y,Y,90000.0,495000.0,23814.0,495000.0,Secondary / secondary special,House / apartment,7.305,3,2018-01-18 15:40:12,1986-11-10,37,Thirty
104100,0,Cash loans,M,Y,Y,315000.0,495000.0,19309.5,495000.0,Secondary / secondary special,Rented apartment,18.209,3,2018-10-24 18:49:31,1990-03-16,33,Thirty
93520,0,Cash loans,F,N,Y,112500.0,900000.0,32017.5,900000.0,Secondary / secondary special,House / apartment,18.209,3,2017-02-24 15:39:33,1985-01-20,38,Thirty
53364,0,Cash loans,F,N,Y,116100.0,555273.0,21645.0,463500.0,Secondary / secondary special,House / apartment,20.246,3,2017-06-08 2:10:56,1984-10-15,39,Thirty
50935,0,Cash loans,M,N,Y,67500.0,225000.0,12694.5,225000.0,Higher education,House / apartment,18.209,3,2017-09-15 13:33:49,1961-09-02,62,Above_Sixty
133090,0,Cash loans,M,N,Y,157500.0,450000.0,22018.5,450000.0,Secondary / secondary special,House / apartment,18.209,3,2018-06-08 13:58:30,1955-06-13,68,Above_Sixty
112843,0,Cash loans,M,Y,Y,157500.0,900000.0,26316.0,900000.0,Secondary / secondary special,House / apartment,3.122,3,2017-12-14 22:48:21,1973-07-22,50,Fourty
123860,0,Cash loans,M,Y,N,247500.0,450000.0,20979.0,450000.0,Higher education,House / apartment,18.209,3,2018-11-17 3:13:23,1961-09-25,62,Above_Sixty
105143,0,Cash loans,F,Y,Y,211500.0,848745.0,43465.5,675000.0,Higher education,House / apartment,10.556,3,2018-12-24 2:23:32,1959-06-29,64,Above_Sixty
179895,0,Cash loans,F,N,Y,157500.0,499261.5,23404.5,351000.0,Secondary / secondary special,Municipal apartment,6.305,3,2018-08-23 3:35:26,1982-12-13,41,Fourty
62392,0,Cash loans,M,N,N,121500.0,269550.0,17820.0,225000.0,Secondary / secondary special,House / apartment,6.852,3,2017-08-31 12:33:55,1955-06-19,68,Above_Sixty
105748,0,Cash loans,M,N,Y,121500.0,1264428.0,37098.0,990000.0,Secondary / secondary special,House / apartment,7.305,3,2017-08-26 23:06:14,1987-09-27,36,Thirty
114223,0,Cash loans,F,N,Y,157500.0,291915.0,15966.0,252000.0,Secondary / secondary special,House / apartment,6.296,3,2017-12-11 20:47:52,1990-05-06,33,Thirty
195693,0,Cash loans,M,N,Y,90000.0,497520.0,28692.0,450000.0,Secondary / secondary special,House / apartment,6.296,3,2018-02-15 15:11:42,1951-09-01,72,Above_Sixty
146736,0,Cash loans,F,N,N,157500.0,378706.5,19467.0,306000.0,Lower secondary,Municipal apartment,20.713,3,2017-12-25 6:05:24,1962-04-10,61,Above_Sixty
189553,0,Cash loans,F,Y,Y,180000.0,1913148.0,50598.0,1710000.0,Higher education,House / apartment,6.852,3,2018-04-09 15:17:15,1952-08-20,71,Above_Sixty
162985,0,Cash loans,M,N,N,180000.0,675000.0,45238.5,675000.0,Secondary / secondary special,House / apartment,18.209,3,2018-10-24 4:56:42,1985-07-16,38,Thirty
111224,0,Cash loans,F,Y,Y,90000.0,254700.0,30357.0,225000.0,Secondary / secondary special,House / apartment,20.713,3,2018-10-14 15:54:54,1969-02-07,54,Fifty
131155,0,Cash loans,F,N,N,112500.0,539100.0,29245.5,450000.0,Secondary / secondary special,House / apartment,20.246,3,2017-05-02 13:37:29,1951-02-22,72,Above_Sixty
90653,0,Cash loans,F,N,Y,33750.0,284400.0,10849.5,225000.0,Secondary / secondary special,House / apartment,18.209,3,2017-05-31 1:36:01,1995-05-25,28,Twenty
74825,0,Cash loans,F,N,N,112500.0,302206.5,15448.5,229500.0,Higher education,With parents,105,3,2018-05-20 3:20:18,1962-02-17,61,Above_Sixty
154655,0,Cash loans,F,N,Y,180000.0,787131.0,42066.0,679500.0,Secondary / secondary special,House / apartment,20.713,3,2017-06-21 3:05:36,1961-05-08,62,Above_Sixty
80153,0,Cash loans,F,N,Y,90000.0,538704.0,23859.0,481500.0,Secondary / secondary special,House / apartment,20.246,3,2017-06-11 17:03:12,1982-03-03,41,Fourty
75780,0,Cash loans,F,Y,Y,112500.0,537669.0,20398.5,378000.0,Secondary / secondary special,House / apartment,20.246,3,2018-11-12 3:25:02,1983-01-07,40,Thirty
90163,0,Cash loans,F,Y,Y,180000.0,555273.0,16366.5,463500.0,Higher education,House / apartment,8.068,3,2017-06-11 17:26:13,1952-09-11,71,Above_Sixty
126195,1,Cash loans,F,Y,N,270000.0,900000.0,38133.0,900000.0,Higher education,House / apartment,18.029,3,2018-06-12 18:05:47,1960-10-25,63,Above_Sixty
58454,0,Cash loans,F,Y,N,135000.0,545040.0,20547.0,450000.0,Secondary / secondary special,House / apartment,10.556,3,2018-02-21 6:57:01,1984-04-15,39,Thirty
97154,0,Cash loans,M,N,N,90000.0,101880.0,10939.5,90000.0,Incomplete higher,House / apartment,6.296,3,2017-01-29 1:46:12,1961-12-14,62,Above_Sixty
190421,0,Cash loans,F,N,N,135000.0,675000.0,34465.5,675000.0,Secondary / secondary special,House / apartment,3.122,3,2017-08-25 9:40:46,1995-12-01,28,Twenty
73552,0,Cash loans,M,N,N,180000.0,781920.0,47965.5,675000.0,Secondary / secondary special,Municipal apartment,7.305,3,2018-07-10 22:37:44,1978-07-08,45,Fourty
183067,0,Cash loans,M,Y,Y,202500.0,76410.0,8356.5,67500.0,Secondary / secondary special,House / apartment,20.246,3,2017-10-17 11:11:16,1968-05-30,55,Fifty
114942,0,Cash loans,F,N,Y,112500.0,117162.0,12748.5,103500.0,Incomplete higher,House / apartment,20.246,3,2018-09-30 20:19:12,1984-03-17,39,Thirty
173521,0,Cash loans,F,N,Y,112500.0,1221354.0,35842.5,1066500.0,Secondary / secondary special,House / apartment,20.713,3,2018-11-22 23:29:51,1963-09-18,60,Fifty
72661,0,Cash loans,F,N,Y,119250.0,255429.0,26950.5,220500.0,Higher education,House / apartment,2.042,3,2018-12-02 4:32:41,1956-10-03,67,Above_Sixty
125283,0,Cash loans,M,N,Y,202500.0,112500.0,5602.5,112500.0,Lower secondary,House / apartment,18.209,3,2017-10-13 1:42:06,1964-02-19,59,Fifty
99682,0,Cash loans,F,Y,N,135000.0,2245432.5,61749.0,2007000.0,Higher education,With parents,18.029,3,2018-03-11 4:11:56,1989-07-24,34,Thirty
168877,0,Cash loans,F,N,Y,112500.0,117162.0,13347.0,103500.0,Secondary / secondary special,House / apartment,7.305,3,2017-12-14 22:40:49,1985-02-09,38,Thirty
85321,0,Cash loans,F,Y,Y,198000.0,755190.0,33264.0,675000.0,Secondary / secondary special,House / apartment,20.246,3,2018-01-15 15:42:44,1972-03-19,51,Fifty
119375,0,Cash loans,M,Y,N,202500.0,835380.0,38839.5,675000.0,Secondary / secondary special,House / apartment,5.002,3,2017-03-30 9:13:07,1960-06-06,63,Above_Sixty
56531,0,Cash loans,F,Y,Y,90000.0,900000.0,26446.5,900000.0,Secondary / secondary special,House / apartment,20.246,3,2018-05-21 11:32:42,1959-06-14,64,Above_Sixty
173135,0,Cash loans,F,N,Y,157500.0,343800.0,13090.5,225000.0,Higher education,House / apartment,20.246,3,2017-03-15 2:18:28,1961-06-08,62,Above_Sixty
50426,0,Cash loans,M,Y,Y,112500.0,216000.0,21492.0,216000.0,Secondary / secondary special,House / apartment,20.713,3,2018-07-26 21:02:34,1960-12-27,63,Above_Sixty
79352,0,Cash loans,F,Y,Y,135000.0,1116000.0,44388.0,1116000.0,Higher education,House / apartment,6.305,3,2018-04-17 4:44:31,1952-02-13,71,Above_Sixty
194811,0,Cash loans,F,N,N,67500.0,101880.0,9922.5,90000.0,Higher education,House / apartment,105,3,2017-12-17 23:08:13,1954-02-20,69,Above_Sixty
78344,1,Cash loans,F,Y,Y,94500.0,808650.0,31333.5,675000.0,Incomplete higher,House / apartment,20.246,3,2018-04-30 21:57:25,1962-01-20,61,Above_Sixty
63007,0,Cash loans,M,Y,Y,180000.0,101880.0,10827.0,90000.0,Secondary / secondary special,House / apartment,10.556,3,2017-10-11 7:42:44,1966-04-07,57,Fifty
73889,0,Cash loans,F,N,N,180000.0,521280.0,27423.0,450000.0,Secondary / secondary special,House / apartment,2.134,3,2017-04-11 15:47:46,1990-08-30,33,Thirty
65603,0,Cash loans,F,N,Y,135000.0,284400.0,16011.0,225000.0,Secondary / secondary special,House / apartment,20.246,3,2018-12-22 16:48:14,1955-06-24,68,Above_Sixty
89362,0,Cash loans,F,N,N,220500.0,450000.0,43839.0,450000.0,Higher education,House / apartment,20.713,3,2018-08-01 16:33:55,1963-09-24,60,Fifty
158926,0,Cash loans,F,N,N,112500.0,225000.0,9909.0,225000.0,Higher education,House / apartment,18.209,3,2017-11-23 4:46:35,1954-10-31,69,Above_Sixty
101156,0,Cash loans,F,Y,Y,216000.0,787131.0,26145.0,679500.0,Higher education,House / apartment,2.042,3,2017-12-19 7:59:44,1992-02-01,31,Thirty
110382,0,Cash loans,M,Y,Y,405000.0,1305000.0,42097.5,1305000.0,Higher education,With parents,10.556,3,2017-07-25 19:40:21,1958-05-17,65,Above_Sixty
80804,1,Cash loans,M,N,N,90000.0,225000.0,11911.5,225000.0,Secondary / secondary special,House / apartment,18.209,3,2018-10-30 15:35:16,1966-02-19,57,Fifty
100184,0,Cash loans,F,N,Y,112500.0,62554.5,6867.0,54000.0,Secondary / secondary special,House / apartment,2.042,3,2018-05-30 8:54:10,1996-05-09,27,Twenty
74624,0,Cash loans,F,N,N,180000.0,269550.0,19300.5,225000.0,Higher education,With parents,6.305,3,2017-11-07 8:48:29,1980-10-17,43,Fourty
120378,0,Cash loans,M,Y,Y,85500.0,1042560.0,34587.0,900000.0,Secondary / secondary special,House / apartment,20.713,3,2018-09-17 14:54:36,1957-11-06,66,Above_Sixty
156178,0,Cash loans,F,N,Y,112500.0,269550.0,21739.5,225000.0,Higher education,House / apartment,3.122,3,2017-07-29 6:05:31,1994-10-03,29,Twenty
112707,0,Cash loans,M,Y,Y,270000.0,1227901.5,46768.5,1129500.0,Higher education,House / apartment,3.069,3,2017-06-26 16:37:56,1977-09-27,46,Fourty
167264,1,Cash loans,F,N,Y,77850.0,306000.0,16020.0,306000.0,Secondary / secondary special,House / apartment,20.246,3,2017-07-21 14:44:11,1951-04-27,72,Above_Sixty
74982,0,Cash loans,F,N,Y,112500.0,315000.0,24507.0,315000.0,Secondary / secondary special,House / apartment,10.556,3,2017-04-28 20:39:36,1975-01-03,48,Fourty
63047,0,Cash loans,F,N,Y,112500.0,308133.0,12676.5,234000.0,Secondary / secondary special,House / apartment,6.852,3,2018-09-20 21:11:03,1966-06-04,57,Fifty
194256,1,Cash loans,F,N,Y,67500.0,1078200.0,31653.0,900000.0,Secondary / secondary special,House / apartment,20.713,3,2018-10-02 2:07:33,1951-04-25,72,Above_Sixty
162794,0,Cash loans,F,N,Y,157500.0,810000.0,44073.0,810000.0,Higher education,House / apartment,10.556,3,2017-06-20 15:57:52,1961-10-12,62,Above_Sixty
112783,0,Cash loans,F,Y,Y,270000.0,1724220.0,50544.0,1350000.0,Secondary / secondary special,House / apartment,20.246,3,2017-06-03 3:19:39,1962-07-24,61,Above_Sixty
162594,0,Cash loans,F,Y,Y,56250.0,508495.5,21672.0,454500.0,Secondary / secondary special,House / apartment,20.246,3,2017-07-26 7:06:39,1964-08-14,59,Fifty
50964,1,Cash loans,M,Y,Y,157500.0,260640.0,24034.5,225000.0,Secondary / secondary special,With parents,20.713,3,2017-10-07 8:49:46,1971-05-29,52,Fifty
102417,0,Cash loans,F,N,N,112500.0,435253.5,16537.5,306000.0,Secondary / secondary special,House / apartment,18.029,3,2018-08-28 10:35:28,1963-03-30,60,Fifty
149641,0,Cash loans,M,Y,Y,121500.0,123993.0,5589.0,103500.0,Lower secondary,House / apartment,7.305,3,2018-08-20 16:07:00,1994-12-17,29,Twenty
44527,0,Cash loans,M,Y,Y,225000.0,900000.0,26446.5,900000.0,Higher education,House / apartment,10.556,3,2018-06-29 15:35:26,1955-08-04,68,Above_Sixty
181095,1,Cash loans,M,N,Y,180000.0,103500.0,9621.0,103500.0,Secondary / secondary special,Rented apartment,18.209,3,2018-03-22 4:01:44,1952-08-22,71,Above_Sixty
159148,0,Cash loans,F,N,N,90000.0,675000.0,21775.5,675000.0,Secondary / secondary special,House / apartment,3.069,3,2017-04-22 10:17:22,1961-04-14,62,Above_Sixty
92455,0,Cash loans,M,N,Y,67500.0,450000.0,27661.5,450000.0,Higher education,House / apartment,6.296,3,2017-01-09 9:29:34,1965-08-02,58,Fifty
73254,0,Cash loans,M,Y,Y,121500.0,436032.0,21339.0,360000.0,Secondary / secondary special,House / apartment,18.209,3,2018-07-01 10:40:15,1994-04-30,29,Twenty
91960,0,Cash loans,M,Y,N,180000.0,808650.0,23773.5,675000.0,Higher education,House / apartment,18.029,3,2018-07-27 11:35:44,1955-06-24,68,Above_Sixty
86784,0,Cash loans,F,N,Y,112500.0,942300.0,30528.0,675000.0,Secondary / secondary special,House / apartment,6.852,3,2017-06-24 7:15:15,1958-09-01,65,Above_Sixty
140059,0,Cash loans,M,N,N,126000.0,225000.0,15034.5,225000.0,Secondary / secondary special,With parents,18.209,3,2017-02-06 9:20:58,1973-11-03,50,Fourty
126252,0,Cash loans,M,N,Y,171000.0,166500.0,19890.0,166500.0,Secondary / secondary special,House / apartment,20.246,3,2017-06-03 21:15:24,1985-03-20,38,Thirty
67625,0,Cash loans,F,N,Y,112500.0,276277.5,11835.0,238500.0,Higher education,House / apartment,3.122,3,2018-07-14 21:25:35,1971-10-23,52,Fifty
123747,0,Cash loans,F,N,N,202500.0,1227901.5,46768.5,1129500.0,Higher education,House / apartment,20.246,3,2018-05-25 0:41:53,1969-03-28,54,Fifty
80443,0,Cash loans,M,N,Y,139500.0,526491.0,24394.5,454500.0,Higher education,House / apartment,105,3,2018-06-07 5:20:03,1984-02-04,39,Thirty
84202,0,Cash loans,M,N,Y,112500.0,108000.0,10809.0,108000.0,Secondary / secondary special,House / apartment,18.209,3,2017-09-15 23:25:26,1951-12-21,72,Above_Sixty
195270,0,Cash loans,M,Y,Y,202500.0,1223010.0,48631.5,1125000.0,Incomplete higher,House / apartment,105,3,2017-12-24 11:25:40,1959-12-01,64,Above_Sixty
46592,0,Cash loans,F,N,Y,157500.0,1051245.0,34042.5,877500.0,Higher education,House / apartment,6.852,3,2018-02-26 14:22:46,1955-05-21,68,Above_Sixty
172313,0,Cash loans,F,N,Y,90000.0,808650.0,29709.0,675000.0,Secondary / secondary special,House / apartment,7.305,3,2018-08-11 2:36:50,1956-09-20,67,Above_Sixty
97314,0,Cash loans,F,N,N,86400.0,540000.0,21681.0,540000.0,Secondary / secondary special,Rented apartment,18.209,3,2018-04-06 7:54:14,1954-04-24,69,Above_Sixty
170291,0,Cash loans,F,N,Y,189000.0,562491.0,27189.0,454500.0,Secondary / secondary special,House / apartment,3.069,3,2018-07-29 3:16:16,1964-05-13,59,Fifty
128281,1,Cash loans,M,N,Y,112500.0,942300.0,30528.0,675000.0,Secondary / secondary special,House / apartment,6.296,3,2018-04-29 14:25:45,1965-05-01,58,Fifty
175306,1,Cash loans,F,Y,Y,144000.0,545040.0,26640.0,450000.0,Higher education,House / apartment,20.713,3,2017-08-28 18:44:42,1990-09-07,33,Thirty
62746,0,Cash loans,F,N,N,37350.0,593010.0,16992.0,495000.0,Secondary / secondary special,Municipal apartment,18.029,3,2018-04-17 2:27:04,1993-02-22,30,Twenty
154735,0,Cash loans,F,N,N,72000.0,355536.0,15061.5,270000.0,Secondary / secondary special,House / apartment,10.556,3,2018-03-12 19:13:39,1970-10-13,53,Fifty
102294,0,Cash loans,F,Y,N,157500.0,314100.0,13833.0,225000.0,Secondary / secondary special,House / apartment,7.305,3,2018-03-04 23:26:10,1958-12-06,65,Above_Sixty
168742,0,Cash loans,F,N,N,225000.0,781920.0,25101.0,675000.0,Secondary / secondary special,House / apartment,20.246,3,2017-11-02 19:51:44,1988-04-27,35,Thirty
186860,0,Cash loans,F,Y,Y,252000.0,760131.0,24520.5,634500.0,Secondary / secondary special,House / apartment,2.042,3,2017-11-12 22:45:48,1961-05-09,62,Above_Sixty
141750,0,Cash loans,F,N,Y,112500.0,675000.0,24930.0,675000.0,Secondary / secondary special,House / apartment,20.713,3,2017-05-20 21:37:41,1954-06-10,69,Above_Sixty
59307,0,Cash loans,F,N,Y,157500.0,1080000.0,31707.0,1080000.0,Higher education,House / apartment,18.209,3,2018-05-20 12:07:14,1984-11-13,39,Thirty
175062,0,Cash loans,M,N,N,90000.0,76410.0,9198.0,67500.0,Secondary / secondary special,With parents,18.029,3,2017-06-13 1:31:44,1994-03-28,29,Twenty
124186,0,Cash loans,M,N,Y,45000.0,193500.0,11236.5,193500.0,Secondary / secondary special,House / apartment,18.209,3,2018-04-18 16:02:19,1950-07-31,73,Above_Sixty
111605,0,Cash loans,F,N,Y,112500.0,318528.0,20484.0,252000.0,Secondary / secondary special,House / apartment,3.122,3,2018-09-22 18:56:34,1953-07-04,70,Above_Sixty
62313,0,Cash loans,F,N,Y,108000.0,329904.0,9643.5,261000.0,Secondary / secondary special,House / apartment,20.246,3,2018-10-07 0:50:57,1994-02-16,29,Twenty
181645,1,Cash loans,M,Y,N,135000.0,545040.0,25407.0,450000.0,Secondary / secondary special,House / apartment,10.556,3,2018-08-09 5:56:09,1959-05-22,64,Above_Sixty
178706,0,Cash loans,M,N,N,180000.0,1249740.0,69912.0,1125000.0,Secondary / secondary special,House / apartment,18.029,3,2017-01-09 16:07:18,1952-05-28,71,Above_Sixty
174869,0,Cash loans,M,Y,Y,90000.0,52128.0,6025.5,45000.0,Secondary / secondary special,House / apartment,20.246,3,2018-08-16 10:45:33,1953-02-12,70,Above_Sixty
46630,1,Cash loans,F,N,Y,173250.0,664569.0,28156.5,594000.0,Secondary / secondary special,House / apartment,20.246,3,2017-08-23 18:55:01,1957-12-29,66,Above_Sixty
138653,1,Cash loans,F,N,N,67500.0,147726.0,11799.0,130500.0,Secondary / secondary special,House / apartment,10.556,3,2017-01-10 4:42:58,1953-11-24,70,Above_Sixty
173001,1,Cash loans,F,N,Y,81000.0,808650.0,23773.5,675000.0,Secondary / secondary special,House / apartment,20.713,3,2018-03-02 21:52:20,1995-12-22,28,Twenty
132956,0,Cash loans,F,Y,Y,135000.0,1298655.0,35842.5,1134000.0,Higher education,House / apartment,18.029,3,2017-03-14 5:42:03,1964-10-17,59,Fifty
143707,0,Cash loans,M,Y,N,166500.0,772686.0,25056.0,553500.0,Secondary / secondary special,House / apartment,20.246,3,2018-12-09 23:21:03,1986-07-16,37,Thirty
140230,0,Cash loans,F,N,N,112500.0,263686.5,28525.5,238500.0,Higher education,House / apartment,2.134,3,2017-08-13 10:14:22,1963-01-28,60,Fifty
178750,0,Cash loans,F,Y,Y,630000.0,1800000.0,62698.5,1800000.0,Higher education,House / apartment,18.209,3,2017-10-07 12:51:07,1965-05-13,58,Fifty
61248,0,Cash loans,F,N,N,135000.0,327024.0,10575.0,270000.0,Higher education,House / apartment,20.713,3,2017-09-28 14:34:22,1989-05-01,34,Thirty
142205,0,Cash loans,F,Y,Y,157500.0,518562.0,25078.5,463500.0,Secondary / secondary special,Rented apartment,105,3,2018-05-17 21:37:00,1967-04-14,56,Fifty
150956,0,Cash loans,F,N,Y,67500.0,288873.0,16713.0,238500.0,Secondary / secondary special,Municipal apartment,7.305,3,2018-05-06 3:01:13,1995-02-05,28,Twenty
102274,0,Cash loans,F,N,N,112500.0,229500.0,13302.0,229500.0,Higher education,House / apartment,6.296,3,2017-08-03 6:06:54,1962-01-14,61,Above_Sixty
153854,0,Cash loans,F,N,Y,90000.0,916470.0,26928.0,765000.0,Secondary / secondary special,House / apartment,2.042,3,2017-01-17 10:24:41,1994-12-04,29,Twenty
